2024-12-20 10:17:16 [http-nio-8081-exec-5] INFO  org.reflections.Reflections - Reflections took 27 ms to scan 1 urls, producing 6 keys and 20 values
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:25 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/temperature, {"time":1734657437038,"value":20.8}}
2024-12-20 10:17:25 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:25 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/office/d/24e124785c384491/n/배전판 옆/e/humidity'에서 메시지 수신: {"time":1734657445846,"value":24}
2024-12-20 10:17:25 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/office/d/24e124785c384491/n/배전판 옆/e/temperature'에서 메시지 수신: {"time":1734657445846,"value":18.6}
2024-12-20 10:17:25 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/office/d/24e124785c384491/n/배전판 옆/e/battery'에서 메시지 수신: {"time":1734657445846,"value":1}
2024-12-20 10:17:25 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/office/d/24e124785c384491/n/배전판 옆/g/24e124fffef5dccc/e/lora'에서 메시지 수신: {"time":1734657445846,"value":{"dr":0,"rssi":-40,"snr":8.5,"frequency":922100000,"sf":12}}
2024-12-20 10:17:25 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/office/d/24e124785c384491/n/배전판 옆/g/24e124fffef79304/e/lora'에서 메시지 수신: {"time":1734657445846,"value":{"dr":0,"rssi":-64,"snr":8.2,"frequency":922100000,"sf":12}}
2024-12-20 10:17:26 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 4f9b6cb5-86ff-43e8-a13c-d64205bf94c0 - 처리 시작
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/infrared, {"time":1734657437038,"value":3}}
2024-12-20 10:17:26 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 4f9b6cb5-86ff-43e8-a13c-d64205bf94c0 - 처리 완료
2024-12-20 10:17:26 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:26 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:26 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/infrared, {"time":1734657437038,"value":3}}
2024-12-20 10:17:26 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:27 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 66fdec77-176c-4ffa-830e-bbddeb42a9d2 - 처리 시작
2024-12-20 10:17:27 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/g/24e124fffef5dccc/e/lora, {"time":1734657437038,"value":{"dr":2,"rssi":-73,"snr":13.2,"channel":4,"frequency":922900000,"sf":10}}}
2024-12-20 10:17:27 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 66fdec77-176c-4ffa-830e-bbddeb42a9d2 - 처리 완료
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:27 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:27 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/g/24e124fffef5dccc/e/lora, {"time":1734657437038,"value":{"dr":2,"rssi":-73,"snr":13.2,"channel":4,"frequency":922900000,"sf":10}}}
2024-12-20 10:17:27 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
